iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,1.8333333333333333,nan,6,0,1836.2815628788385,nan,1.0,0.0046296296296296285,0.0046296296296296285,0.9953703703703703
1,1000000,0.8333333333333334,1.2147016011644833,6,1374,1030.576524287191,942.223259508673,0.8020002475,-0.030092592592592587,-0.030092592592592587,1.0300925925925926
2,2000000,22.48205128205128,3.5283797729618165,195,969,985.6357703088096,648.5033529566151,0.5545002475,0.7215990028490028,0.7215990028490028,0.2784009971509972
3,3000000,23.32972972972973,11.158790170132326,185,529,977.2719629481917,636.8405335773027,0.3070002475,0.7510322822822824,0.7510322822822824,0.24896771771771764
4,4000000,43.02255639097744,24.68141592920354,133,339,974.68355489641,628.1212238785412,0.05950024749999997,1.4348109857978277,1.0,0.0
5,5000000,99.19587628865979,56.694063926940636,97,219,988.7461298442513,621.7353350975002,0.01,3.3852734822451316,1.0,0.0
6,6000000,82.68181818181819,85.97311827956989,88,186,1002.8576614048827,615.7572291034552,0.01,2.811868686868687,1.0,0.0
7,7000000,157.9016393442623,141.58895705521473,61,163,967.2876879190069,615.4562542998366,0.01,5.423668032786885,1.0,0.0
8,8000000,177.0,163.8227848101266,28,158,991.4430492340347,611.3411109971464,0.01,6.086805555555555,1.0,0.0
9,9000000,179.77173913043478,194.48666666666668,92,150,989.2189740358682,608.1112019590244,0.01,6.183046497584542,1.0,0.0
10,10000000,235.31578947368422,219.1917808219178,19,146,988.5438028052404,606.2895345430729,0.01,8.111659356725147,1.0,0.0
11,11000000,248.46153846153845,233.13235294117646,13,136,1005.0889650790602,603.6679264952439,0.01,8.568108974358974,1.0,0.0
12,12000000,287.55555555555554,249.73282442748092,9,131,1008.9487823243318,603.358747688448,0.01,9.92554012345679,1.0,0.0
13,13000000,309.0,289.6910569105691,11,123,1030.4088664455026,596.9353259162759,0.01,10.67013888888889,1.0,0.0
14,14000000,347.1666666666667,307.60504201680675,12,119,1026.7440032255943,593.7913822103131,0.01,11.995370370370372,1.0,0.0
15,15000000,379.42857142857144,345.12820512820514,14,117,1015.7783969153293,590.0088412919566,0.01,13.115575396825397,1.0,0.0
16,16000000,397.2857142857143,351.45360824742266,7,97,1021.9289919554872,587.1701281133875,0.01,13.735615079365079,1.0,0.0
17,17000000,159.42857142857142,355.7763157894737,14,76,1035.767134069598,597.3186567546102,0.01,5.476686507936508,1.0,0.0
18,18000000,388.8888888888889,379.54794520547944,9,73,1030.4632388574253,596.2497034968567,0.01,13.44405864197531,1.0,0.0
19,19000000,383.6,389.23728813559325,5,59,1012.1548174729463,605.0612061528481,0.01,13.260416666666668,1.0,0.0
20,20000000,398.8,413.23809523809524,10,63,992.5888052744775,606.403596663048,0.01,13.788194444444445,1.0,0.0
21,21000000,264.0,340.5842696629214,11,89,949.5106229638349,603.7697761793663,0.01,9.10763888888889,1.0,0.0
22,22000000,243.6875,341.5853658536585,16,82,958.2847836766759,605.1550030367254,0.01,8.40234375,1.0,0.0
23,23000000,376.0,401.43037974683546,6,79,951.5764208114706,605.9199479966705,0.01,12.996527777777779,1.0,0.0
24,24000000,315.4,350.72,10,75,970.3121585482586,605.4433593561923,0.01,10.89236111111111,1.0,0.0
25,25000000,386.2,391.7164179104478,15,67,964.8008189449515,600.5068414534935,0.01,13.350694444444445,1.0,0.0
26,26000000,332.5,353.7752808988764,8,89,967.3420679942934,603.5962410435201,0.01,11.48611111111111,1.0,0.0
27,27000000,358.42857142857144,400.5416666666667,7,72,963.168571412064,598.9760965186622,0.01,12.386408730158731,1.0,0.0
28,28000000,387.6666666666667,382.9404761904762,12,84,1100.51574588712,598.380590446588,0.01,13.40162037037037,1.0,0.0
29,29000000,227.25,382.0,20,80,1100.985509860359,598.865667294458,0.01,7.831597222222222,1.0,0.0
30,30000000,368.73333333333335,391.4342105263158,15,76,1066.0955225442108,603.9257252905952,0.01,12.744212962962964,1.0,0.0
31,31000000,395.2,370.33720930232556,5,86,1058.6587868687893,605.5016919737623,0.01,13.663194444444445,1.0,0.0
32,32000000,185.03571428571428,403.5633802816901,28,71,994.5486512321816,607.6248317174293,0.01,6.365823412698413,1.0,0.0
33,33000000,396.3333333333333,403.12048192771084,9,83,1038.935508955358,605.9065307458551,0.01,13.702546296296296,1.0,0.0
34,34000000,398.6,369.20238095238096,5,84,1034.7756620911402,601.1511291245893,0.01,13.78125,1.0,0.0
35,35000000,407.0,387.85,6,80,1028.2322969123063,603.059390465004,0.01,14.072916666666666,1.0,0.0
36,36000000,377.1875,373.0151515151515,16,66,1018.4610341466656,607.9278774810667,0.01,13.037760416666666,1.0,0.0
37,37000000,389.2857142857143,358.0888888888889,7,90,1013.5306706730345,610.2347384048455,0.01,13.4578373015873,1.0,0.0
38,38000000,410.875,373.76666666666665,8,90,1016.9796532914359,613.5556342831447,0.01,14.207465277777779,1.0,0.0
39,39000000,256.8333333333333,392.5822784810127,6,79,1021.8848214637725,616.3575314293006,0.01,8.858796296296296,1.0,0.0
40,40000000,397.7142857142857,397.29487179487177,7,78,1024.2045526938273,621.32742861392,0.01,13.750496031746032,1.0,0.0
41,41000000,386.0,376.0853658536585,4,82,1051.3354949307663,622.0363479322913,0.01,13.34375,1.0,0.0
42,42000000,297.44444444444446,369.4555555555556,9,90,1047.536659948794,623.7548863956421,0.01,10.268904320987655,1.0,0.0
43,43000000,357.27272727272725,388.3424657534247,11,73,995.804375726896,630.3115040437802,0.01,12.346275252525253,1.0,0.0
44,44000000,345.7647058823529,392.05194805194805,17,77,1014.7443968707563,624.295347648317,0.01,11.946691176470589,1.0,0.0
45,45000000,390.45454545454544,398.7916666666667,11,72,980.8307557691637,624.1301381357417,0.01,13.498421717171716,1.0,0.0
46,46000000,399.375,400.84615384615387,8,91,954.0467041918266,622.492835404323,0.01,13.808159722222221,1.0,0.0
47,47000000,422.0,359.6170212765957,6,94,1054.3554053704413,622.3535305968043,0.01,14.59375,1.0,0.0
48,48000000,332.55555555555554,387.725,18,80,971.7107880953307,614.2131647865909,0.01,11.48804012345679,1.0,0.0
49,49000000,401.3,370.0674157303371,10,89,1043.0429030321664,612.9265460700177,0.01,13.875,1.0,0.0
50,50000000,465.6666666666667,383.3636363636364,9,77,959.526689691076,617.977323795646,0.01,16.109953703703706,1.0,0.0
51,51000000,374.875,386.1686746987952,8,83,980.5001860142705,615.4934359554563,0.01,12.957465277777779,1.0,0.0
52,52000000,423.2,391.4024390243902,5,82,989.3226124004548,614.6642429127015,0.01,14.635416666666666,1.0,0.0
53,53000000,438.57142857142856,372.87640449438203,7,89,995.0684385993,617.1729471619306,0.01,15.169146825396824,1.0,0.0
54,54000000,343.77777777777777,384.55405405405406,9,74,975.600881367578,615.787688636813,0.01,11.877700617283951,1.0,0.0
55,55000000,382.9,395.4578313253012,10,83,1024.077287769481,614.4709821283997,0.01,13.23611111111111,1.0,0.0
56,56000000,398.125,382.3076923076923,8,78,971.1618206803927,617.1377753169667,0.01,13.764756944444445,1.0,0.0
57,57000000,411.09090909090907,403.6794871794872,11,78,1053.3964984214845,615.7686490161046,0.01,14.214962121212121,1.0,0.0
58,58000000,398.6666666666667,415.02777777777777,6,72,1037.7280062400014,623.7816519549827,0.01,13.783564814814815,1.0,0.0
59,59000000,398.1666666666667,406.1764705882353,6,85,1075.9897219229274,622.8586829291174,0.01,13.766203703703704,1.0,0.0
60,60000000,200.41176470588235,412.18518518518516,17,81,1028.8788989186548,616.0249204386384,0.01,6.899714052287582,1.0,0.0
61,61000000,371.4375,405.84705882352944,16,85,1092.9403604115678,618.3815526803529,0.01,12.83810763888889,1.0,0.0
62,62000000,216.08695652173913,399.0705882352941,23,85,1065.1542076063624,615.7763276573542,0.01,7.44399154589372,1.0,0.0
63,63000000,360.6666666666667,394.7241379310345,9,87,1077.397405161504,617.3454504285312,0.01,12.46412037037037,1.0,0.0
64,64000000,276.7,411.45238095238096,40,84,1038.0618570626748,613.0894160945429,0.01,9.54861111111111,1.0,0.0
65,65000000,386.3333333333333,401.85897435897436,6,78,1037.9416841757813,613.9640222550685,0.01,13.355324074074073,1.0,0.0
66,66000000,370.25,434.7631578947368,16,76,1040.9899960990663,607.2960965911108,0.01,12.796875,1.0,0.0
67,67000000,402.4,403.92857142857144,5,84,1048.804078166824,611.4286648032971,0.01,13.913194444444443,1.0,0.0
68,68000000,461.1666666666667,412.1547619047619,6,84,1065.8944364709935,611.8777497452713,0.01,15.953703703703704,1.0,0.0
69,69000000,401.25,397.2278481012658,4,79,1057.3274061069494,613.4492608418693,0.01,13.87326388888889,1.0,0.0
70,70000000,394.0,399.5853658536585,6,82,1058.1537803313133,602.5720722201619,0.01,13.621527777777779,1.0,0.0
71,71000000,397.44444444444446,438.51428571428573,9,70,1051.4730771650095,603.6122912281015,0.01,13.741126543209877,1.0,0.0
72,72000000,425.3333333333333,436.85897435897436,6,78,1064.4733130716472,600.9197835045223,0.01,14.70949074074074,1.0,0.0
73,73000000,262.1034482758621,422.4,29,70,1069.234541187029,606.3144967122845,0.01,9.041786398467433,1.0,0.0
74,74000000,433.5,375.96590909090907,6,88,1061.4467605288887,603.2356385891242,0.01,14.993055555555555,1.0,0.0
75,75000000,347.09090909090907,405.62666666666667,22,75,1063.0988918760042,611.6818774251174,0.01,11.992739898989898,1.0,0.0
76,76000000,615.1666666666666,392.5,6,90,1067.181240372152,610.6467902074653,0.01,21.300925925925924,1.0,0.0
77,77000000,372.8333333333333,441.36,6,75,1065.5717658738997,602.7090760747434,0.01,12.886574074074073,1.0,0.0
78,78000000,435.77777777777777,460.19117647058823,9,68,1069.2528914939826,608.32183319917,0.01,15.072145061728396,1.0,0.0
79,79000000,458.4,430.037037037037,5,81,1073.0786287476153,599.9218574262278,0.01,15.857638888888888,1.0,0.0
80,80000000,402.3888888888889,459.40277777777777,36,72,1062.4034336317757,604.1951292784488,0.01,13.91280864197531,1.0,0.0
81,81000000,571.8333333333334,418.4390243902439,6,82,1061.8136296767977,600.15078653358,0.01,19.796296296296294,1.0,0.0
82,82000000,415.7142857142857,425.34177215189874,7,79,1075.2236541273458,602.7386609894675,0.01,14.375496031746032,1.0,0.0
83,83000000,393.3888888888889,447.5774647887324,18,71,1070.689661491885,603.6114567310641,0.01,13.60030864197531,1.0,0.0
84,84000000,403.125,422.2,8,70,1074.4231408227301,602.600569236449,0.01,13.938368055555555,1.0,0.0
85,85000000,403.2,429.7894736842105,5,76,1077.4516283512366,599.7753383398313,0.01,13.940972222222221,1.0,0.0
86,86000000,513.75,429.2608695652174,4,69,1068.1229071111354,597.3327368970008,0.01,17.779513888888886,1.0,0.0
87,87000000,267.5,401.63291139240505,22,79,1061.4825049127053,602.85953584308,0.01,9.229166666666666,1.0,0.0
88,88000000,390.6666666666667,433.8939393939394,6,66,1075.9915324979531,598.755191569261,0.01,13.505787037037038,1.0,0.0
89,89000000,503.85714285714283,407.3918918918919,7,74,1066.662441588819,594.4130315638076,0.01,17.436011904761905,1.0,0.0
90,90000000,448.57142857142856,405.62820512820514,7,78,1057.81500094874,596.1437723717278,0.01,15.516369047619047,1.0,0.0
91,91000000,588.2,427.70512820512823,5,78,1045.4092248136085,599.2567519171517,0.01,20.364583333333332,1.0,0.0
92,92000000,477.625,450.7647058823529,8,68,1063.3109383089366,596.5219736560607,0.01,16.52517361111111,1.0,0.0
93,93000000,372.2857142857143,416.3731343283582,7,67,1067.196368087072,605.820697159009,0.01,12.867559523809524,1.0,0.0
94,94000000,469.2307692307692,413.53521126760563,13,71,1036.8139668315628,601.1070228261265,0.01,16.233707264957264,1.0,0.0
95,95000000,350.75,439.41333333333336,12,75,1046.7573312440663,600.4443406754409,0.01,12.119791666666666,1.0,0.0
96,96000000,407.5,427.93589743589746,4,78,1089.7653490843677,602.8704537913408,0.01,14.090277777777779,1.0,0.0
97,97000000,459.7142857142857,426.74074074074076,7,81,1045.647234152643,604.944183234594,0.01,15.90327380952381,1.0,0.0
98,98000000,392.0,400.7402597402597,9,77,1058.761198567101,610.7224766447738,0.01,13.552083333333334,1.0,0.0
99,99000000,396.14285714285717,442.0735294117647,7,68,1057.6637305874963,617.1730662316679,0.01,13.695932539682541,1.0,0.0
100,100000000,231.625,467.546875,24,64,1005.2780680276334,613.9646035824281,0.01,7.983506944444445,1.0,0.0
101,101000000,384.3333333333333,432.7361111111111,9,72,1026.1013399683966,617.005872196558,0.01,13.28587962962963,1.0,0.0
102,102000000,538.2857142857143,402.16470588235296,7,85,991.777507692295,619.2612459373006,0.01,18.63144841269841,1.0,0.0
103,103000000,477.1666666666667,421.44,6,75,994.6649721628099,618.0644595581867,0.01,16.50925925925926,1.0,0.0
104,104000000,538.6666666666666,441.5753424657534,6,73,1055.7777841570817,621.0040360890426,0.01,18.644675925925924,1.0,0.0
105,105000000,380.75,451.2909090909091,4,55,991.8889557227067,629.4425618683899,0.01,13.161458333333334,1.0,0.0
106,106000000,515.6,437.98591549295776,5,71,1026.3892540065833,624.5335562992865,0.01,17.84375,1.0,0.0
107,107000000,451.0,487.828125,11,64,974.4886725080446,628.2252981058775,0.01,15.600694444444445,1.0,0.0
108,108000000,571.0,440.94805194805195,8,77,1046.4403774739942,620.5891519705102,0.01,19.76736111111111,1.0,0.0
109,109000000,408.57142857142856,427.4246575342466,7,73,1085.784240354932,621.4077077792683,0.01,14.127480158730158,1.0,0.0
110,110000000,409.4,455.2837837837838,5,74,1081.961466634773,625.1154801975968,0.01,14.15625,1.0,0.0
111,111000000,567.8888888888889,424.22972972972974,9,74,1072.0514869726849,620.7334066412964,0.01,19.659336419753085,1.0,0.0
112,112000000,501.14285714285717,430.7432432432432,7,74,1072.464433531913,628.9583262705754,0.01,17.341765873015873,1.0,0.0
113,113000000,369.1818181818182,500.7096774193548,11,62,1061.7040206804813,630.4814158170872,0.01,12.759785353535353,1.0,0.0
114,114000000,422.6666666666667,476.6307692307692,6,65,1002.6570419512449,630.9730682632708,0.01,14.616898148148149,1.0,0.0
115,115000000,389.8125,437.32876712328766,16,73,986.0517023243204,629.0366341526561,0.01,13.476128472222221,1.0,0.0
116,116000000,252.77358490566039,477.1929824561403,53,57,1011.2095831592947,627.7320728949145,0.01,8.71783280922432,1.0,0.0
117,117000000,438.625,441.2173913043478,8,69,1061.9895671951506,632.3518711703821,0.01,15.171006944444445,1.0,0.0
118,118000000,459.8333333333333,419.7738095238095,6,84,1058.467295886835,631.5060839329499,0.01,15.907407407407407,1.0,0.0
119,119000000,660.0,458.6363636363636,6,66,1057.1684827171425,631.4402279685717,0.01,22.857638888888886,1.0,0.0
120,120000000,383.25,484.98333333333335,8,60,1055.0339424556635,631.7227189021175,0.01,13.24826388888889,1.0,0.0
121,121000000,515.0,457.28,5,75,1073.9798125168845,626.6012319828925,0.01,17.822916666666664,1.0,0.0
122,122000000,499.0,442.85483870967744,6,62,1034.086248111869,625.2943359521219,0.01,17.26736111111111,1.0,0.0
123,123000000,241.71428571428572,494.86567164179104,14,67,1038.433145197916,620.0079013652185,0.01,8.333829365079366,1.0,0.0
124,124000000,372.85714285714283,464.83076923076925,7,65,1049.9699619226803,618.017695538748,0.01,12.887400793650793,1.0,0.0
125,125000000,483.2,449.8101265822785,5,79,1045.3792786138158,613.8441806419137,0.01,16.71875,1.0,0.0
126,126000000,559.6666666666666,440.32835820895525,6,67,1068.787408696853,607.7518785660131,0.01,19.373842592592588,1.0,0.0
127,127000000,572.25,458.43243243243245,8,74,1030.9447539368684,608.8702887572377,0.01,19.810763888888886,1.0,0.0
128,128000000,434.9,445.22972972972974,10,74,1064.8792248241305,605.5896056053246,0.01,15.041666666666666,1.0,0.0
129,129000000,374.6666666666667,513.5333333333333,12,60,1008.6309044433376,606.7041058239998,0.01,12.950231481481483,1.0,0.0
130,130000000,421.0,442.4590163934426,4,61,1049.767964177276,601.9619433022857,0.01,14.559027777777779,1.0,0.0
131,131000000,572.1666666666666,474.8253968253968,6,63,1007.1960166450147,602.0321813628673,0.01,19.807870370370367,1.0,0.0
132,132000000,427.6875,431.3972602739726,16,73,994.1968800667181,603.0383474267336,0.01,14.79123263888889,1.0,0.0
133,133000000,417.2,399.72151898734177,5,79,1038.2465829626847,603.1559230999067,0.01,14.427083333333332,1.0,0.0
134,134000000,528.3333333333334,448.9850746268657,6,67,1059.9466416873029,605.4242009816143,0.01,18.28587962962963,1.0,0.0
135,135000000,375.5,487.57575757575756,8,66,1056.6693082227732,603.6568477373091,0.01,12.979166666666666,1.0,0.0
136,136000000,429.2307692307692,462.44736842105266,13,76,1084.7525302733302,605.6313921195396,0.01,14.844818376068377,1.0,0.0
137,137000000,298.57142857142856,463.28985507246375,14,69,1051.9007065839814,608.1466406917726,0.01,10.308035714285714,1.0,0.0
138,138000000,379.3125,460.6933333333333,16,75,1080.3850119733834,603.4504807754076,0.01,13.11154513888889,1.0,0.0
139,139000000,315.0,415.69736842105266,15,76,1071.2708568470243,610.5479983918658,0.01,10.878472222222223,1.0,0.0
140,140000000,412.25,449.4366197183099,4,71,1047.3419587783742,610.5568523893827,0.01,14.255208333333334,1.0,0.0
141,141000000,509.75,441.2307692307692,4,65,1050.21800292407,602.58257891473,0.01,17.640625,1.0,0.0
142,142000000,548.2857142857143,451.20588235294116,7,68,1039.060468467675,603.7710921609265,0.01,18.978670634920636,1.0,0.0
143,143000000,370.0,454.45569620253167,15,79,1067.7752319625458,609.3454686007357,0.01,12.788194444444445,1.0,0.0
144,144000000,332.7391304347826,434.4931506849315,23,73,1078.448996511129,612.2797677567884,0.01,11.494414251207731,1.0,0.0
145,145000000,369.0,410.61038961038963,9,77,1053.3119022769997,617.8055079740569,0.01,12.753472222222221,1.0,0.0
146,146000000,545.1666666666666,473.8695652173913,6,69,1058.5501644228175,616.8682265386118,0.01,18.870370370370367,1.0,0.0
147,147000000,382.9,467.0,10,64,1030.1893842492073,615.6164901083357,0.01,13.23611111111111,1.0,0.0
148,148000000,448.875,389.6,8,85,1045.3986007443805,624.1190838650796,0.01,15.526909722222221,1.0,0.0
149,149000000,520.5,489.469696969697,4,66,1067.3920339740266,612.6900154464587,0.01,18.013888888888886,1.0,0.0
150,150000000,408.42857142857144,425.0945945945946,7,74,1039.0353496270782,620.4761364343461,0.01,14.122519841269842,1.0,0.0
151,151000000,540.7142857142857,469.2352941176471,7,68,1029.3347651078534,622.9089473443449,0.01,18.715773809523807,1.0,0.0
152,152000000,383.3076923076923,505.9032258064516,13,62,1024.4582173772,616.9782147356009,0.01,13.250267094017094,1.0,0.0
153,153000000,381.5,442.1044776119403,8,67,1080.4460885921228,611.1982091124528,0.01,13.1875,1.0,0.0
154,154000000,453.0,458.06493506493507,6,77,1083.1076494231118,610.2405991648932,0.01,15.67013888888889,1.0,0.0
155,155000000,389.5,444.9032258064516,8,62,1051.5681597295663,611.5438423078896,0.01,13.465277777777779,1.0,0.0
156,156000000,415.6,464.8888888888889,5,63,1055.3595775506026,613.7931956789014,0.01,14.371527777777779,1.0,0.0
157,157000000,404.0,436.09090909090907,8,77,1070.9623338330766,615.1198706040725,0.01,13.96875,1.0,0.0
158,158000000,402.14285714285717,439.2083333333333,7,72,1044.9927327607068,615.3361196215312,0.01,13.904265873015873,1.0,0.0
159,159000000,424.25,471.4193548387097,8,62,1029.9571388708707,620.1594990525847,0.01,14.671875,1.0,0.0
160,160000000,448.77777777777777,437.6533333333333,9,75,1050.1091241364306,614.6368398737757,0.01,15.523533950617283,1.0,0.0
161,161000000,333.2,423.64864864864865,5,74,1058.8812829052067,617.95709865228,0.01,11.510416666666666,1.0,0.0
162,162000000,312.2985074626866,463.3285714285714,67,70,1021.2424361359866,615.2943379718644,0.01,10.78467039800995,1.0,0.0
163,163000000,519.8571428571429,440.32835820895525,7,67,1066.7093843665687,614.7340546451654,0.01,17.99156746031746,1.0,0.0
164,164000000,292.38461538461536,464.76056338028167,26,71,1012.8151866021282,619.4722411329423,0.01,10.09321581196581,1.0,0.0
165,165000000,424.0,458.84722222222223,4,72,1076.456158264195,617.6087979236357,0.01,14.663194444444445,1.0,0.0
166,166000000,407.0,459.1142857142857,6,70,1050.85426527027,617.7267366334444,0.01,14.072916666666666,1.0,0.0
167,167000000,498.4,453.1756756756757,5,74,1059.1152792027635,612.5758311549889,0.01,17.24652777777778,1.0,0.0
168,168000000,469.8333333333333,500.1166666666667,12,60,1029.334626218212,615.2555263327332,0.01,16.25462962962963,1.0,0.0
169,169000000,432.85714285714283,451.7,7,60,970.1666410306769,607.8276150456238,0.01,14.970734126984127,1.0,0.0
170,170000000,549.8333333333334,435.14925373134326,6,67,980.6445743186019,614.6436159095962,0.01,19.03240740740741,1.0,0.0
171,171000000,430.4,408.3855421686747,5,83,998.645435946471,619.828485030252,0.01,14.885416666666666,1.0,0.0
172,172000000,410.0,462.53968253968253,6,63,1000.3440987772178,616.4581671922239,0.01,14.177083333333334,1.0,0.0
173,173000000,407.0,440.1060606060606,6,66,957.4127802509599,615.7354910727547,0.01,14.072916666666666,1.0,0.0
174,174000000,404.1666666666667,446.78125,6,64,1005.2495636146475,616.7185345662463,0.01,13.974537037037038,1.0,0.0
175,175000000,439.6,456.4492753623188,5,69,1036.7318144823155,615.9496368605966,0.01,15.204861111111112,1.0,0.0
176,176000000,401.0,430.3857142857143,6,70,1001.097026616558,613.9338863446782,0.01,13.864583333333334,1.0,0.0
