iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,894.8,nan,250,0,809.7947073470223,nan,1.0,0.11275930299355333,0.11275930299355333,0.8872406970064467
1,1000000,0.0,32.5889164598842,864,1209,789.182770532576,506.9288423738115,0.8020002475,-0.00146805387119423,-0.00146805387119423,1.0014680538711942
2,2000000,2519.5402298850577,350.08635578583767,174,579,817.1698140221283,463.33901804560344,0.5545002475,0.32016853639944565,0.32016853639944565,0.6798314636005544
3,3000000,0.0,701.7857142857143,598,448,794.342722208412,459.21071045835123,0.3070002475,-0.00146805387119423,-0.00146805387119423,1.0014680538711942
4,4000000,2209.278350515464,1922.478386167147,194,347,812.2161678274485,457.34552026571504,0.05950024749999997,0.28056147960879096,0.28056147960879096,0.719438520391209
5,5000000,3578.6008230452676,3283.529411764706,243,425,808.3613597225392,459.70168789302704,0.01,0.45536488454015034,0.45536488454015034,0.5446351154598497
6,6000000,4526.984126984127,5627.118644067797,252,295,807.6679822908104,462.74780594996764,0.01,0.5764325176465344,0.5764325176465344,0.42356748235346564
7,7000000,12260.839160839161,11076.628352490421,143,261,811.0315088501364,463.2953247032465,0.01,1.5637121543166095,1.0,0.0
8,8000000,22084.375,17198.260869565216,96,230,815.062795831301,460.7952559320159,0.01,2.817753877577073,1.0,0.0
9,9000000,27792.30769230769,22547.945205479453,39,219,813.9146833681604,449.90823582072414,0.01,3.5464106328343257,1.0,0.0
10,10000000,33363.63636363636,26232.1608040201,44,199,816.5239083905778,453.3482818194762,0.01,4.2576289479334095,1.0,0.0
11,11000000,31342.85714285714,28379.768786127166,7,173,808.0745362685971,447.8692633077605,0.01,3.999662621160036,1.0,0.0
12,12000000,34222.22222222222,27740.909090909092,9,132,812.4895686089492,450.0206759212007,0.01,4.367233321276852,1.0,0.0
13,13000000,32987.5,31326.724137931036,8,116,801.5684820506042,447.0994234768211,0.01,4.209612561434863,1.0,0.0
14,14000000,39740.0,30717.647058823528,5,119,772.5998327708285,443.479216239288,0.01,5.071615497542606,1.0,0.0
