iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,20.0,nan,4,0,1072.0753536501475,nan,1.0,-0.0011527569707261657,-0.0011527569707261657,1.0011527569707261
1,1000000,218.5430463576159,107.1593533487298,151,433,1000.7306139109718,684.4798743320665,0.8020002475,0.0035760008945207346,0.0035760008945207346,0.9964239991054793
2,2000000,179.68421052631578,185.3781512605042,190,357,993.4815558093632,625.8525283438779,0.5545002475,0.0026504886242968728,0.0026504886242968728,0.9973495113757032
3,3000000,234.66666666666666,232.9153605015674,165,319,981.9558831351482,618.4991282948771,0.3070002475,0.003960021880152971,0.003960021880152971,0.996039978119847
4,4000000,135.02439024390245,318.58736059479554,205,269,974.5454544363076,615.9519293214202,0.05950024749999997,0.0015868126089677453,0.0015868126089677453,0.9984131873910322
5,5000000,626.5979381443299,379.44954128440367,97,218,971.3491176601945,611.0180320873872,0.01,0.01329476372398449,0.01329476372398449,0.9867052362760155
6,6000000,660.0,524.8587570621469,78,177,977.721858207071,607.8694157142977,0.01,0.01409031041077685,0.01409031041077685,0.9859096895892232
7,7000000,802.9333333333333,615.4430379746835,75,158,988.2263445311522,604.4996183088672,0.01,0.017494595459312524,0.017494595459312524,0.9825054045406875
8,8000000,742.0895522388059,817.2661870503597,67,139,1010.1294158931765,599.8350770668477,0.01,0.016045461310922993,0.016045461310922993,0.983954538689077
9,9000000,1439.2592592592594,1130.8943089430895,54,123,984.2378616997236,599.1594117857912,0.01,0.032650156342884686,0.032650156342884686,0.9673498436571153
10,10000000,1686.3157894736842,1289.3103448275863,57,116,989.0621731419105,598.2514396562525,0.01,0.038534374057101584,0.038534374057101584,0.9614656259428984
11,11000000,1554.4262295081967,1513.0973451327434,61,113,986.6644012701519,597.2868701796237,0.01,0.035393121792303604,0.035393121792303604,0.9646068782076964
12,12000000,1753.5714285714287,1845.2830188679245,28,106,996.1916952011361,596.9597765799405,0.01,0.0401362213048406,0.0401362213048406,0.9598637786951594
13,13000000,1524.7058823529412,2244.3564356435645,34,101,978.026299395051,597.8364409686301,0.01,0.03468526358247669,0.03468526358247669,0.9653147364175233
14,14000000,3016.5853658536585,2494.949494949495,41,99,985.2974205256254,602.3922730873361,0.01,0.07021779403885693,0.07021779403885693,0.929782205961143
15,15000000,4111.282051282052,2629.108910891089,39,101,985.5504843471056,601.2126923359048,0.01,0.09629050550493976,0.09629050550493976,0.9037094944950602
16,16000000,2250.0,3405.3763440860216,42,93,1012.4270283038747,611.1442085504203,0.01,0.051959805936698404,0.051959805936698404,0.9480401940633016
17,17000000,5078.666666666667,3787.317073170732,15,82,1012.7644184177735,614.7016582521296,0.01,0.11933098812390394,0.11933098812390394,0.880669011876096
18,18000000,5181.176470588235,3960.235294117647,17,85,1028.6493085858554,625.6881444077194,0.01,0.12177249413709319,0.12177249413709319,0.8782275058629068
19,19000000,6318.888888888889,4704.444444444444,18,72,1050.769863865127,626.3680581680386,0.01,0.1488697239072957,0.1488697239072957,0.8511302760927043
20,20000000,5618.125,4741.219512195122,32,82,1048.3927598415091,632.3477177483168,0.01,0.132179425193456,0.132179425193456,0.867820574806544
21,21000000,6100.0,4909.87012987013,17,77,1058.1713771859397,623.5562742683103,0.01,0.1436563831535525,0.1436563831535525,0.8563436168464476
22,22000000,4408.823529411765,5080.7692307692305,34,78,1057.2381223763007,628.2437038924978,0.01,0.1033771380048198,0.1033771380048198,0.8966228619951802
23,23000000,5790.30303030303,4787.012987012987,33,77,1031.6757745046082,624.883021436757,0.01,0.13628023975208653,0.13628023975208653,0.8637197602479134
24,24000000,5723.333333333333,5243.75,36,80,1021.4119962545548,624.1548265266656,0.01,0.1346852028717304,0.1346852028717304,0.8653147971282696
25,25000000,5010.0,5656.363636363636,34,77,1019.1195516578307,628.7249194261831,0.01,0.11769553401943017,0.11769553401943017,0.8823044659805699
26,26000000,6561.176470588235,4988.048780487805,34,82,1025.477364268701,625.6995759831881,0.01,0.1546403581784591,0.1546403581784591,0.8453596418215409
27,27000000,397.2173913043478,5696.578947368421,115,76,996.994594291518,621.5247405033066,0.01,0.007831540081034713,0.007831540081034713,0.9921684599189653
28,28000000,7887.058823529412,5422.307692307692,17,78,975.1683289277181,620.84159116585,0.01,0.18621928637506552,0.18621928637506552,0.8137807136249344
29,29000000,6092.857142857143,5644.871794871795,28,78,970.3898383302584,622.7391238934559,0.01,0.14348625963366965,0.14348625963366965,0.8565137403663303
30,30000000,6930.909090909091,5337.5,22,80,978.3881371183224,630.6471383412073,0.01,0.16344638824828794,0.16344638824828794,0.8365536117517121
31,31000000,9163.75,5863.380281690141,16,71,986.1363041563496,628.8544857737841,0.01,0.21662661391930227,0.21662661391930227,0.7833733860806977
