iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,211.44859813084113,nan,214,0,1426.5842044209776,nan,1.0,0.00017467089467897387,0.00017467089467897387,0.9998253291053211
1,1000000,71.97392923649907,229.39453125,537,1024,1399.9786355569356,743.7038408603352,0.8020002475,-0.01664308185686047,-0.01664308185686047,1.0166430818568604
2,2000000,224.7663551401869,239.064039408867,535,1015,1402.6040689426952,666.2276816597686,0.5545002475,0.001780516216727588,0.001780516216727588,0.9982194837832724
3,3000000,615.2061855670103,298.11694747274527,388,1009,1403.3069800068638,665.5856096169592,0.3070002475,0.04885946312891253,0.04885946312891253,0.9511405368710875
4,4000000,786.7724867724868,548.1034482758621,378,870,1410.3298678419894,666.9574399377663,0.05950024749999997,0.06954680124588365,0.06954680124588365,0.9304531987541164
5,5000000,1280.081300813008,983.7228714524207,246,599,1420.773628926375,671.5036258352985,0.01,0.1290296143649703,0.1290296143649703,0.8709703856350297
6,6000000,2065.693430656934,1602.542372881356,137,354,1420.1087625825978,672.2306187929122,0.01,0.22375814581130965,0.22375814581130965,0.7762418541886904
7,7000000,2583.980582524272,2397.1111111111113,103,225,1423.8069758032598,671.9430799260391,0.01,0.2862528284909833,0.2862528284909833,0.7137471715090167
8,8000000,2566.8367346938776,2589.3564356435645,98,202,1423.6297922765168,668.8701993140934,0.01,0.2841856359584095,0.2841856359584095,0.7158143640415905
9,9000000,2612.987012987013,2580.4455445544554,77,202,1423.484607607634,663.7005702200428,0.01,0.28975040249201317,0.28975040249201317,0.7102495975079868
10,10000000,2712.9032258064517,2634.455958549223,93,193,1417.742518330665,662.3742966902286,0.01,0.3017982257733896,0.3017982257733896,0.6982017742266104
11,11000000,2580.1369863013697,2652.8947368421054,73,190,1414.8966778839324,660.7053328757103,0.01,0.285789370492008,0.285789370492008,0.714210629507992
12,12000000,2658.080808080808,2633.0049261083745,99,203,1431.4229330649891,649.5434809726465,0.01,0.29518777906030264,0.29518777906030264,0.7048122209396974
13,13000000,3032.777777777778,2797.354497354497,90,189,1430.7804543043226,640.336103782789,0.01,0.34036846343165905,0.34036846343165905,0.659631536568341
14,14000000,2395.575221238938,2844.25,113,200,1416.7701196454677,644.44016877354,0.01,0.26353504892370205,0.26353504892370205,0.736464951076298
15,15000000,3180.1136363636365,2881.3106796116504,88,206,1403.2635913007261,648.7739224968932,0.01,0.3581341126407626,0.3581341126407626,0.6418658873592373
16,16000000,3095.6043956043954,3267.5438596491226,91,171,1405.1621921909132,659.8458645881113,0.01,0.3479440506920521,0.3479440506920521,0.6520559493079479
17,17000000,4017.5,3587.974683544304,60,158,1412.1341474543967,658.4741385963657,0.01,0.45910554302871,0.45910554302871,0.54089445697129
18,18000000,3955.487804878049,3482.248520710059,82,169,1518.1460330794628,630.1783501209934,0.01,0.4516281582576356,0.4516281582576356,0.5483718417423644
19,19000000,4219.166666666667,3779.268292682927,60,164,1510.9471485153413,638.6169974083358,0.01,0.4834223610223515,0.4834223610223515,0.5165776389776485
20,20000000,4758.20895522388,3636.1878453038676,67,181,1564.4788050016225,656.7398327940748,0.01,0.548419682782955,0.548419682782955,0.45158031721704495
21,21000000,5260.0,3810.2150537634407,65,186,1583.943012915818,661.1803816292364,0.01,0.6089252770308563,0.6089252770308563,0.3910747229691437
22,22000000,4319.89247311828,4150.0,93,179,1484.0744538526521,639.0422423054275,0.01,0.49556780450704546,0.49556780450704546,0.5044321954929545
23,23000000,4390.322580645161,4404.696132596685,93,181,1507.2758652348236,626.7905053922501,0.01,0.5040602149500394,0.5040602149500394,0.4959397850499606
24,24000000,5244.021739130435,4813.068181818182,92,176,1558.3354361455883,632.3361256588571,0.01,0.6069986301147234,0.6069986301147234,0.39300136988527656
25,25000000,5159.558823529412,4954.237288135593,68,177,1569.5612577048798,646.2138919437757,0.01,0.5968141540194388,0.5968141540194388,0.4031858459805612
26,26000000,6303.333333333333,5687.3456790123455,90,162,1563.122615291962,648.830694786585,0.01,0.7347296411963071,0.7347296411963071,0.2652703588036929
27,27000000,6392.592592592592,5755.6547619047615,81,168,1572.8479202031735,650.0513991013239,0.01,0.7454924568739335,0.7454924568739335,0.2545075431260665
28,28000000,6842.405063291139,5983.7278106508875,79,169,1577.0310100235401,652.1441940182871,0.01,0.7997305129792893,0.7997305129792893,0.20026948702071068
29,29000000,6940.340909090909,6379.393939393939,88,165,1579.0532138789133,649.2814574802687,0.01,0.8115395450654034,0.8115395450654034,0.18846045493459662
30,30000000,7528.048780487805,6807.012195121952,82,164,1578.7137325949843,651.2198547312775,0.01,0.8824049269274964,0.8824049269274964,0.11759507307250361
31,31000000,7174.698795180723,6792.987804878048,83,164,1574.86630979158,650.4440406136055,0.01,0.8397982461964144,0.8397982461964144,0.1602017538035856
32,32000000,8952.054794520547,7267.610062893082,73,159,1581.6306289459076,652.2438798551725,0.01,1.0541105222915543,1.0,0.0
