iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,1.5714285714285714,nan,7,0,1576.4930663380014,nan,1.0,-0.004464285714285714,-0.004464285714285714,1.0044642857142858
1,1000000,1.4,1.2991772625280478,5,1337,1396.25510692947,752.086566525726,0.8020002475,-0.010416666666666668,-0.010416666666666668,1.0104166666666667
2,2000000,0.7571592210767468,1.3196347031963471,873,1314,1345.063245475093,618.0409179992241,0.5545002475,-0.03273752704594629,-0.03273752704594629,1.0327375270459462
3,3000000,9.976190476190476,1.8733443708609272,42,1208,1396.1821036322292,617.1607124095266,0.3070002475,0.2873677248677249,0.2873677248677249,0.7126322751322751
4,4000000,11.671052631578947,10.299625468164795,76,534,1400.4619504817217,620.4519394641251,0.05950024749999997,0.3462171052631579,0.3462171052631579,0.653782894736842
5,5000000,34.67407407407408,17.65133171912833,135,413,1400.417933966305,620.9192534569653,0.01,1.1449331275720165,1.0,0.0
6,6000000,47.0,34.369565217391305,113,276,1394.3439230523043,616.8499177182592,0.01,1.5729166666666665,1.0,0.0
7,7000000,63.16831683168317,53.57276995305164,101,213,1411.850445997502,612.7012010620062,0.01,2.1343165566556657,1.0,0.0
8,8000000,82.26373626373626,75.03783783783784,91,185,1406.6687732405644,598.7085051327273,0.01,2.7973519536019533,1.0,0.0
9,9000000,179.86274509803923,112.69942196531792,51,173,1432.9459695890598,595.2616269399634,0.01,6.186206427015251,1.0,0.0
10,10000000,162.10344827586206,138.80405405405406,29,148,1458.6424208090673,588.5028388011799,0.01,5.569564176245211,1.0,0.0
11,11000000,249.48,214.8125,25,128,1521.9133861817907,581.3749865927169,0.01,8.603472222222223,1.0,0.0
12,12000000,288.10714285714283,252.83185840707964,28,113,1419.9300952094436,569.2898716321365,0.01,9.94469246031746,1.0,0.0
13,13000000,350.6363636363636,324.302752293578,11,109,1480.5244716470752,577.9405887863622,0.01,12.115845959595958,1.0,0.0
14,14000000,375.44444444444446,332.69607843137254,9,102,1475.361782152067,587.5390247691005,0.01,12.977237654320987,1.0,0.0
15,15000000,360.5,360.90909090909093,8,88,1401.4485651437071,602.3834434580519,0.01,12.458333333333334,1.0,0.0
16,16000000,213.61111111111111,343.70512820512823,18,78,1322.1502228017791,605.6428831827852,0.01,7.358024691358025,1.0,0.0
17,17000000,316.5,331.45,6,80,1312.0988926578293,588.0745044657579,0.01,10.930555555555555,1.0,0.0
18,18000000,352.4,363.75471698113205,5,53,1380.757467528432,600.3745630911486,0.01,12.177083333333332,1.0,0.0
19,19000000,315.75,376.2835820895522,8,67,1386.7543371713964,608.3605565217948,0.01,10.90451388888889,1.0,0.0
20,20000000,270.7,331.7848101265823,10,79,1320.1657481188688,602.796289958099,0.01,9.340277777777777,1.0,0.0
21,21000000,507.5,329.5056179775281,4,89,1307.2005408039445,596.3958319104986,0.01,17.5625,1.0,0.0
22,22000000,383.6666666666667,412.5230769230769,9,65,1375.590234992022,599.1618213059456,0.01,13.262731481481483,1.0,0.0
23,23000000,292.2857142857143,392.1818181818182,7,66,1377.2888071292323,603.4164235038696,0.01,10.089781746031745,1.0,0.0
