iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,4.0,nan,5,0,908.5889982195159,nan,1.0,-0.01433423117461061,-0.01433423117461061,1.0143342311746106
1,1000000,67.93871866295265,79.98407643312102,359,628,981.1281352797913,535.1871680881051,0.8020002475,0.0006414612162905843,0.0006414612162905843,0.9993585387837094
2,2000000,202.38636363636363,138.73417721518987,264,553,872.333133288835,468.03305114857903,0.5545002475,0.032131716509278284,0.032131716509278284,0.9678682834907217
3,3000000,249.46601941747574,191.890243902439,206,492,994.6231404354149,537.1704812455301,0.3070002475,0.043158688234565104,0.043158688234565104,0.9568413117654349
4,4000000,217.10084033613447,227.82805429864254,238,442,1004.2783031643288,535.2128323632649,0.05950024749999997,0.035578133349604045,0.035578133349604045,0.964421866650396
5,5000000,609.2121212121212,258.3937823834197,165,386,1004.6447039928674,532.1152751704785,0.01,0.12741822724256263,0.12741822724256263,0.8725817727574374
6,6000000,265.6774193548387,372.08469055374593,155,307,867.8068334089289,454.989817060303,0.01,0.046955713632706106,0.046955713632706106,0.9530442863672939
7,7000000,269.5031055900621,374.68227424749165,161,299,991.2331562683645,448.07788500886534,0.01,0.04785176381076522,0.04785176381076522,0.9521482361892348
8,8000000,248.8950276243094,309.24198250728864,181,343,991.889473465103,528.3555765207124,0.01,0.04302495084302831,0.04302495084302831,0.9569750491569717
9,9000000,253.33333333333334,359.3072289156627,18,332,776.479431943608,448.5470947824352,0.01,0.04406448842565484,0.04406448842565484,0.9559355115743452
10,10000000,263.3333333333333,402.5581395348837,183,301,990.4802767409554,380.13779512255576,0.01,0.04640668306202912,0.04640668306202912,0.9535933169379709
11,11000000,270.0,364.76702508960574,11,279,987.7156700048595,518.4464219881615,0.01,0.04796814615294531,0.04796814615294531,0.9520318538470547
12,12000000,723.75,319.6551724137931,32,87,1008.4498755779864,531.7286459558288,0.01,0.1542452277784284,0.1542452277784284,0.8457547722215716
13,13000000,263.9325842696629,391.41975308641975,89,162,1002.5843413001242,519.4574729099231,0.01,0.04654703929492047,0.04654703929492047,0.9534529607050796
14,14000000,244.64285714285714,354.0,28,70,1009.2819977476918,531.3584971070559,0.01,0.04202900975356766,0.04202900975356766,0.9579709902464324
15,15000000,906.8518518518518,430.41237113402065,54,97,1000.5841169235069,529.3744538872622,0.01,0.19713124531018897,0.19713124531018897,0.802868754689811
16,16000000,232.85714285714286,387.77777777777777,7,90,993.5362097538077,519.9470772674512,0.01,0.039268566074983684,0.039268566074983684,0.9607314339250164
17,17000000,383.3333333333333,438.97196261682245,6,107,998.4051928263423,521.1777597259925,0.01,0.0745130186985205,0.0745130186985205,0.9254869813014794
18,18000000,253.9655172413793,454.8780487804878,58,123,922.6757422628515,472.77792997755296,0.01,0.04421255820151758,0.04421255820151758,0.9557874417984824
19,19000000,205.0,393.24675324675326,6,77,1342.137833986068,521.518964016932,0.01,0.032743881016512474,0.032743881016512474,0.9672561189834875
20,20000000,480.0,545.4,8,150,1337.2354608974135,598.9223141766914,0.01,0.09715423351680524,0.09715423351680524,0.9028457664831948
21,21000000,385.78125,570.75,64,160,1311.660651553643,585.8065779340772,0.01,0.0750863684272163,0.0750863684272163,0.9249136315727837
22,22000000,255.10638297872342,776.8840579710145,47,138,954.0395142810162,484.60479126401,0.01,0.044479771162600636,0.044479771162600636,0.9555202288373994
23,23000000,592.8571428571429,583.8607594936709,14,158,930.6420520213513,374.81067239470394,0.01,0.12358757298445787,0.12358757298445787,0.8764124270155421
24,24000000,210.0,753.421052631579,10,114,966.5046246034442,373.75618917417324,0.01,0.033914978334699614,0.033914978334699614,0.9660850216653004
25,25000000,251.07843137254903,698.2170542635658,102,129,1369.5723457724087,466.4218369393277,0.01,0.04353634649784495,0.04353634649784495,0.956463653502155
26,26000000,1497.5,851.4814814814815,12,135,1392.8847031237917,585.0337225937304,0.01,0.3354725377678885,0.3354725377678885,0.6645274622321116
27,27000000,1133.5714285714287,812.5438596491229,84,114,1441.5062244620315,602.7316918943018,0.01,0.25023338296555303,0.25023338296555303,0.749766617034447
28,28000000,978.1355932203389,986.7333333333333,59,150,1443.6275308874865,609.3324012919901,0.01,0.21382728497958517,0.21382728497958517,0.7861727150204149
29,29000000,607.7165354330708,1113.8235294117646,127,102,1442.5061684416225,601.3085907392524,0.01,0.1270679319435697,0.1270679319435697,0.8729320680564303
30,30000000,1342.8048780487804,1212.836879432624,82,141,1423.9581303968523,602.5352846356393,0.01,0.2992399292771473,0.2992399292771473,0.7007600707228527
31,31000000,1206.3333333333333,1147.4285714285713,120,140,1408.5118510501995,586.9997043040656,0.01,0.26727563727212394,0.26727563727212394,0.7327243627278761
32,32000000,1316.0377358490566,1236.6187050359713,53,139,1443.9869966529047,574.4970658690382,0.01,0.2929705435880212,0.2929705435880212,0.7070294564119788
33,33000000,1561.5384615384614,1215.2941176470588,13,136,1384.9091323618343,563.3014783725057,0.01,0.350471591881593,0.350471591881593,0.649528408118407
34,34000000,486.984126984127,1375.4464285714287,63,112,1334.8299760726659,551.795939652647,0.01,0.09879005199300316,0.09879005199300316,0.9012099480069968
35,35000000,1407.142857142857,1410.241935483871,49,124,1317.2206406627022,546.0050464555939,0.01,0.314309136232078,0.314309136232078,0.685690863767922
36,36000000,1731.8918918918919,1267.0,37,130,1291.2700770656606,556.4255993138647,0.01,0.3903716809677695,0.3903716809677695,0.6096283190322305
37,37000000,1675.7142857142858,1399.2391304347825,28,92,1317.3806708382642,568.3350540866469,0.01,0.3772137921804159,0.3772137921804159,0.622786207819584
38,38000000,2023.611111111111,1429.122807017544,36,114,1328.136773405233,572.614929047337,0.01,0.45869800002602434,0.45869800002602434,0.5413019999739757
39,39000000,1570.0,1499.5424836601308,59,153,1317.7882936600558,574.071767356071,0.01,0.35245344888160207,0.35245344888160207,0.647546551118398
40,40000000,1569.1666666666667,1335.7843137254902,60,102,1336.4709315941793,590.9902078736097,0.01,0.3522582659952375,0.3522582659952375,0.6477417340047624
