iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,20.0,nan,4,0,1729.5325693590667,nan,1.0,-0.0011527569707261657,-0.0011527569707261657,1.0011527569707261
1,1000000,0.0,88.44155844155844,4,462,1243.7122769384578,1002.3278106419658,0.8020002475,-0.001629102826398135,-0.001629102826398135,1.0016291028263982
2,2000000,143.88235294117646,143.67758186397984,170,397,1225.3602647865146,754.5239317059776,0.5545002475,0.0017977852999949142,0.0017977852999949142,0.998202214700005
3,3000000,85.45454545454545,169.52646239554318,220,359,1215.7791197027213,747.7956327201346,0.3070002475,0.0004061931023820972,0.0004061931023820972,0.9995938068976179
4,4000000,85.0,122.78728606356968,216,409,1219.1528941746396,745.0227145470811,0.05950024749999997,0.00039536706020773434,0.00039536706020773434,0.9996046329397923
5,5000000,100.53475935828877,119.1644908616188,187,383,1212.2263984516617,743.0730825390801,0.01,0.0007653629721668441,0.0007653629721668441,0.9992346370278331
6,6000000,15.0,133.75342465753425,4,365,1213.9922393921968,735.4981860588101,0.01,-0.001271843434644158,-0.001271843434644158,1.0012718434346441
7,7000000,93.84615384615384,143.92370572207085,13,367,1189.1585200224438,728.7461406070845,0.01,0.0006060584963703359,0.0006060584963703359,0.9993939415036297
8,8000000,131.2,149.28176795580112,150,362,1175.2974454446812,719.7943892204593,0.01,0.001495725986809983,0.001495725986809983,0.99850427401319
9,9000000,119.0,141.65289256198346,20,363,1179.4989806506728,718.5769834479175,0.01,0.001205155014850082,0.001205155014850082,0.9987948449851499
10,10000000,134.73684210526315,133.8586956521739,19,368,1171.609248818653,712.5745954795938,0.01,0.0015799639907603945,0.0015799639907603945,0.9984200360092396
11,11000000,52.0,134.3175487465181,5,359,1171.6196738297226,718.4663194771227,0.01,-0.0003906036016510149,-0.0003906036016510149,1.000390603601651
12,12000000,76.66666666666667,133.954802259887,6,354,1160.1045131186881,705.8955046063877,0.01,0.00019688962034441392,0.00019688962034441392,0.9998031103796556
13,13000000,129.27083333333334,129.75342465753425,192,365,1136.1297997162608,708.3466252879881,0.01,0.0014497784594816247,0.0014497784594816247,0.9985502215405184
14,14000000,101.76470588235294,123.03317535545024,34,422,1125.0498358994319,691.0284729351812,0.01,0.0007946569686386498,0.0007946569686386498,0.9992053430313613
15,15000000,160.60085836909872,131.72566371681415,233,452,1105.500237637375,703.4348868334732,0.01,0.0021959748386759185,0.0021959748386759185,0.997804025161324
16,16000000,132.8755364806867,182.65984654731457,233,391,1084.5369880540436,685.5518514710269,0.01,0.0015356327297400983,0.0015356327297400983,0.9984643672702599
17,17000000,367.88990825688074,234.4694533762058,109,311,1083.0790227138411,685.613623680093,0.01,0.007133038830687171,0.007133038830687171,0.9928669611693128
18,18000000,963.25,546.0773480662983,80,181,1086.6435531568206,684.2064309859913,0.01,0.021312904447403084,0.021312904447403084,0.9786870955525969
19,19000000,1562.5806451612902,1038.9808917197452,62,157,1107.2726159754634,676.5920299189562,0.01,0.03558733789739249,0.03558733789739249,0.9644126621026075
20,20000000,1700.677966101695,1512.950819672131,59,122,1088.0303277757407,687.2620379069227,0.01,0.03887644222286067,0.03887644222286067,0.9611235577771393
21,21000000,1903.921568627451,2109.433962264151,51,106,1107.3373064418674,673.528561969461,0.01,0.04371715461060992,0.04371715461060992,0.9562828453893901
22,22000000,3578.6363636363635,2877.872340425532,44,94,1119.8338251653452,678.4662939605444,0.01,0.08360432721236126,0.08360432721236126,0.9163956727876388
23,23000000,5054.193548387097,3832.6436781609195,31,87,1112.820255651754,676.0333257929715,0.01,0.11874810470051177,0.11874810470051177,0.8812518952994882
24,24000000,4220.625,4577.066666666667,32,75,1126.0947476506926,690.2092377989901,0.01,0.09889475852837713,0.09889475852837713,0.9011052414716229
25,25000000,4789.166666666667,4406.111111111111,24,72,1124.5811875035367,685.6320385793838,0.01,0.11243588186305219,0.11243588186305219,0.8875641181369478
26,26000000,5125.0,4509.0625,12,64,1115.3172037021923,695.3000585318541,0.01,0.120434522689544,0.120434522689544,0.879565477310456
27,27000000,5192.307692307692,4526.470588235294,13,68,1144.3226597841644,690.1417836201405,0.01,0.12203760970382466,0.12203760970382466,0.8779623902961753
28,28000000,5221.333333333333,5527.313432835821,15,67,1139.315610684777,693.5950321799785,0.01,0.12272892189436396,0.12272892189436396,0.8772710781056361
29,29000000,6260.0,5604.848484848485,12,66,1153.904418296991,714.9382453965094,0.01,0.14746714999892824,0.14746714999892824,0.8525328500010718
30,30000000,2637.2727272727275,5593.823529411765,22,68,1166.0347047067398,707.5265557768153,0.01,0.06118359386925563,0.06118359386925563,0.9388164061307444
31,31000000,5177.4358974358975,5429.295774647887,39,71,1167.599710723713,722.1711776507193,0.01,0.12168340381114551,0.12168340381114551,0.8783165961888545
32,32000000,7090.666666666667,5665.428571428572,30,70,1174.7568891591118,711.1785706630808,0.01,0.16725138120450403,0.16725138120450403,0.832748618795496
33,33000000,6374.4,5767.536231884058,25,69,1185.47506199279,723.6956692994335,0.01,0.1501918482933719,0.1501918482933719,0.849808151706628
34,34000000,6948.695652173913,5961.159420289855,23,69,1188.6554330060644,726.2880475200117,0.01,0.16387001598554563,0.16387001598554563,0.8361299840144544
35,35000000,4547.368421052632,5857.534246575343,38,73,1194.7139380242497,730.9111973488262,0.01,0.10667690225270225,0.10667690225270225,0.8933230977472978
36,36000000,7790.0,6127.428571428572,24,70,1190.3679639072807,726.5774883296407,0.01,0.1839076079578339,0.1839076079578339,0.8160923920421661
37,37000000,8481.42857142857,6197.611940298508,14,67,1192.1760436859984,724.5139090289492,0.01,0.20037556468249337,0.20037556468249337,0.7996244353175066
38,38000000,9445.0,6778.0952380952385,16,63,1183.8490881962985,720.5846150865905,0.01,0.22332522751468933,0.22332522751468933,0.7766747724853107
39,39000000,10256.923076923076,6488.615384615385,13,65,1205.4034230168581,720.8181473898796,0.01,0.2426630371555264,0.2426630371555264,0.7573369628444736
40,40000000,9658.947368421053,6942.1875,19,64,1188.2994369214678,731.4069679728686,0.01,0.22842087462865399,0.22842087462865399,0.771579125371346
41,41000000,11008.0,7095.172413793103,10,58,1204.6913844555784,724.597427582249,0.01,0.2605516561354537,0.2605516561354537,0.7394483438645463
42,42000000,9845.333333333334,7174.666666666667,15,60,1204.2583755262694,726.3822750178708,0.01,0.23286008372572328,0.23286008372572328,0.7671399162742767
43,43000000,18326.666666666668,7333.454545454545,6,55,1203.586762642585,727.9461334864045,0.01,0.4348624829210163,0.4348624829210163,0.5651375170789836
44,44000000,15076.0,7477.586206896552,10,58,1202.4793757422465,724.1229236799506,0.01,0.3574404031791323,0.3574404031791323,0.6425595968208677
45,45000000,12490.0,7554.576271186441,10,59,1187.2214888559834,723.1947145171646,0.01,0.29584888404074666,0.29584888404074666,0.7041511159592533
46,46000000,17506.666666666668,7017.704918032787,6,61,1197.879596958735,724.4587256715845,0.01,0.4153323028384656,0.4153323028384656,0.5846676971615343
47,47000000,6470.0,7276.7213114754095,26,61,1193.5818198107477,722.4593686492499,0.01,0.15246878148348392,0.15246878148348392,0.847531218516516
48,48000000,13140.0,7310.967741935484,11,62,1188.7142654020088,715.2988043938319,0.01,0.31133012435008567,0.31133012435008567,0.6886698756499143
49,49000000,17502.85714285714,7282.372881355932,7,59,1173.330931914507,709.7179475320659,0.01,0.415241570294528,0.415241570294528,0.584758429705472
50,50000000,9650.0,7291.612903225807,16,62,1162.8546683216987,709.1370766113927,0.01,0.22820777253532704,0.22820777253532704,0.7717922274646729
51,51000000,11661.818181818182,7000.0,11,62,1145.4946193918163,705.3810463759411,0.01,0.2761238351990574,0.2761238351990574,0.7238761648009426
52,52000000,15835.0,7099.016393442623,8,61,1152.1967616661243,706.5939378509379,0.01,0.3755177284018835,0.3755177284018835,0.6244822715981164
53,53000000,13683.636363636364,7090.625,11,64,1157.042147963058,698.6541339964666,0.01,0.32427807079062376,0.32427807079062376,0.6757219292093762
54,54000000,17545.0,6993.538461538462,8,65,1156.9665208870956,695.7555387371318,0.01,0.4162452990618368,0.4162452990618368,0.5837547009381632
55,55000000,19603.333333333332,7575.333333333333,6,60,1144.969081339258,688.4682015540928,0.01,0.46526922670807697,0.46526922670807697,0.5347307732919231
56,56000000,16910.0,7413.548387096775,8,62,1133.178731496405,706.4627888780103,0.01,0.40112131814425184,0.40112131814425184,0.5988786818557481
57,57000000,17912.5,7205.396825396825,8,63,1123.3791673683927,686.1947213097762,0.01,0.4249981541598093,0.4249981541598093,0.5750018458401907
58,58000000,19207.5,7250.153846153846,8,65,1116.1246799412304,677.8745028139873,0.01,0.4558415483145693,0.4558415483145693,0.5441584516854308
59,59000000,11465.333333333334,7016.417910447762,15,67,1071.2703263525866,675.8810292741775,0.01,0.2714440980351528,0.2714440980351528,0.7285559019648472
60,60000000,15132.727272727272,7610.645161290323,11,62,1101.9581278092558,664.4871502014532,0.01,0.35879149324249276,0.35879149324249276,0.6412085067575073
61,61000000,18625.0,7465.1612903225805,8,62,1106.1763228415132,669.6648433154569,0.01,0.4419679752681232,0.4419679752681232,0.5580320247318769
62,62000000,13853.846153846154,7406.176470588235,13,68,1109.1730992049274,674.8420370599928,0.01,0.3283320071986852,0.3283320071986852,0.6716679928013147
63,63000000,17255.0,6749.859154929577,8,71,1107.8829045769703,680.1492381125117,0.01,0.4093382841545933,0.4093382841545933,0.5906617158454067
64,64000000,10526.153846153846,6684.788732394366,13,71,1107.2547715204137,681.9752774072452,0.01,0.24907538521264905,0.24907538521264905,0.750924614787351
65,65000000,8670.0,6805.633802816901,16,71,1112.4759396565735,680.3432069362034,0.01,0.20486682560740055,0.20486682560740055,0.7951331743925995
66,66000000,9316.25,7450.461538461538,16,65,1122.4108207233594,684.9460260180305,0.01,0.22025875106880105,0.22025875106880105,0.779741248931199
67,67000000,14407.272727272728,7166.268656716418,11,67,1126.5388975188885,687.1802357875533,0.01,0.34151312993220956,0.34151312993220956,0.6584868700677904
68,68000000,7878.461538461538,6871.388888888889,26,72,1129.9583332253565,692.0570104935254,0.01,0.1860145223194599,0.1860145223194599,0.8139854776805401
69,69000000,16402.222222222223,6926.944444444444,9,72,1132.2641805248584,692.0243515138092,0.01,0.38902742614191355,0.38902742614191355,0.6109725738580865
70,70000000,14770.90909090909,7528.333333333333,11,66,1143.9530910902652,703.6059137170545,0.01,0.35017396367169984,0.35017396367169984,0.6498260363283002
71,71000000,9559.0,7515.692307692308,20,65,1152.8930736959674,702.9047229065175,0.01,0.22604039889201957,0.22604039889201957,0.7739596011079805
72,72000000,17882.222222222223,6779.142857142857,9,70,1149.6867714205573,721.4187719972617,0.01,0.4242770194616392,0.4242770194616392,0.5757229805383608
73,73000000,18005.0,7832.1875,8,64,1164.1229588459175,702.172833228714,0.01,0.4272012537422921,0.4272012537422921,0.5727987462577079
74,74000000,16726.666666666668,7753.2307692307695,9,65,1177.9317154278851,708.9281280742176,0.01,0.3967548144672588,0.3967548144672588,0.6032451855327412
75,75000000,19965.0,6847.397260273972,8,73,1188.0461468571186,714.2655625756823,0.01,0.47388314759814515,0.47388314759814515,0.5261168524018549
76,76000000,13900.0,7650.9375,11,64,1203.0871278791142,730.3779428848425,0.01,0.3294312668656205,0.3294312668656205,0.6705687331343795
77,77000000,15924.444444444445,7227.462686567164,9,67,1202.196261337006,728.2667530328848,0.01,0.3776480529230832,0.3776480529230832,0.6223519470769168
78,78000000,14101.538461538461,7179.718309859155,13,71,1199.655733121476,736.4188775447918,0.01,0.33423136741123805,0.33423136741123805,0.665768632588762
79,79000000,12830.0,7260.285714285715,14,70,1210.4021538761224,737.1948096747461,0.01,0.30394676358717015,0.30394676358717015,0.6960532364128298
80,80000000,11321.25,6785.0,16,76,1202.6741020973998,739.0451127166641,0.01,0.26801242309991596,0.26801242309991596,0.7319875769000841
81,81000000,11508.75,7324.857142857143,16,70,1195.2955158423863,734.2341399526978,0.01,0.2724781654968407,0.2724781654968407,0.7275218345031593
82,82000000,17417.5,7090.0,8,72,1191.0477114281384,742.9568548461516,0.01,0.413208594231928,0.413208594231928,0.586791405768072
83,83000000,12785.333333333334,7188.235294117647,15,68,1198.0084715603996,736.4303014085743,0.01,0.30288292450950277,0.30288292450950277,0.6971170754904972
84,84000000,15608.888888888889,6751.2,9,75,1191.641288008491,735.0257120882941,0.01,0.37013237386692543,0.37013237386692543,0.6298676261330746
85,85000000,20117.5,6994.444444444444,8,72,1188.460708396181,732.3191961800851,0.01,0.4775152847476439,0.4775152847476439,0.5224847152523562
86,86000000,11798.666666666666,7286.176470588235,15,68,1187.8406112128587,745.0726295628376,0.01,0.27938319562968555,0.27938319562968555,0.7206168043703145
87,87000000,13851.666666666666,6725.333333333333,12,75,1194.454138489989,725.7663588686825,0.01,0.32828009771441324,0.32828009771441324,0.6717199022855868
