iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,650.0,nan,85,0,1930.0217162545548,nan,1.0,0.05305487562249045,0.05305487562249045,0.9469451243775096
1,1000000,207.83410138248848,235.62124248496994,217,998,1930.6326328403372,1248.0774100385015,0.8020002475,-0.000261162458552267,-0.000261162458552267,1.0002611624585522
2,2000000,349.35483870967744,248.66737739872067,310,938,1913.7482344381576,1175.4288478453445,0.5545002475,0.016803303716213986,0.016803303716213986,0.983196696283786
3,3000000,265.43367346938777,316.7607223476298,392,886,1943.1534965902044,1174.1217880108952,0.3070002475,0.006684151480036629,0.006684151480036629,0.9933158485199634
4,4000000,360.42857142857144,453.0940594059406,350,808,1907.5208569710883,1167.7981547248326,0.05950024749999997,0.018138566243663133,0.018138566243663133,0.9818614337563368
5,5000000,706.8181818181819,551.9040902679831,330,709,1922.7170227740896,1172.9283211213692,0.01,0.05990597009853519,0.05990597009853519,0.9400940299014648
6,6000000,1001.685393258427,743.90625,267,640,1900.468315282955,1172.8378249053283,0.01,0.09546084107151882,0.09546084107151882,0.9045391589284811
7,7000000,1763.5593220338983,1216.851441241685,177,451,1892.810644388302,1177.450138933886,0.01,0.18732703773333878,0.18732703773333878,0.8126729622666612
8,8000000,2070.945945945946,1737.3475609756097,148,328,1865.9919354912304,1179.6700078138265,0.01,0.2243914902325909,0.2243914902325909,0.7756085097674091
9,9000000,2568.5840707964603,2243.6567164179105,113,268,1871.7841613736198,1175.6612924898943,0.01,0.284396328457485,0.284396328457485,0.7156036715425149
10,10000000,2676.605504587156,2556.0416666666665,109,240,1890.19425912639,1176.387637990219,0.01,0.2974214733082315,0.2974214733082315,0.7025785266917686
11,11000000,2666.923076923077,2610.1960784313724,130,255,1868.3983999914783,1175.3349568717524,0.01,0.2962539733185918,0.2962539733185918,0.7037460266814082
12,12000000,2674.087591240876,2654.8872180451126,137,266,1842.998248939262,1153.8588226444222,0.01,0.29711786517319716,0.29711786517319716,0.7028821348268028
13,13000000,2794.6153846153848,2577.338129496403,130,278,1775.6070524165589,1101.616301706582,0.01,0.3116510176426013,0.3116510176426013,0.6883489823573987
14,14000000,2520.740740740741,2694.9248120300754,135,266,1759.031012195965,1089.2287712046696,0.01,0.2786274149905033,0.2786274149905033,0.7213725850094967
15,15000000,2248.6486486486488,2703.065134099617,148,261,1720.6162660167624,1074.0970311555727,0.01,0.24581875111820975,0.24581875111820975,0.7541812488817903
16,16000000,2654.471544715447,2739.1304347826085,123,253,1631.4909373004616,1037.7479721688073,0.01,0.2947525767445344,0.2947525767445344,0.7052474232554655
17,17000000,3232.0,2779.0836653386455,100,251,1607.9085428188316,1009.4133842142494,0.01,0.3643905321162867,0.3643905321162867,0.6356094678837133
18,18000000,3158.7719298245615,2989.183673469388,114,245,1609.37868195557,1009.4890343160962,0.01,0.3555607453998483,0.3555607453998483,0.6444392546001517
19,19000000,3594.017094017094,3172.427983539095,117,243,1622.794546862433,1028.0785485252086,0.01,0.40804228642604207,0.40804228642604207,0.591957713573958
20,20000000,3674.5535714285716,3502.7272727272725,112,220,1709.0023638570742,1048.202375960589,0.01,0.41775331549908623,0.41775331549908623,0.5822466845009138
21,21000000,5287.1621621621625,4407.670454545455,74,176,1871.3801645962672,1118.8883645555447,0.01,0.6122004705198368,0.6122004705198368,0.38779952948016316
22,22000000,4366.0,4268.253968253968,100,189,1830.971101054206,1144.085781050461,0.01,0.501127416106978,0.501127416106978,0.498872583893022
23,23000000,5357.236842105263,4714.367816091954,76,174,1901.5021577150526,1154.8100087064208,0.01,0.6206500237668074,0.6206500237668074,0.37934997623319255
24,24000000,5007.831325301205,4527.595628415301,83,183,1904.5947065381154,1147.1509629155112,0.01,0.5785189641398726,0.5785189641398726,0.4214810358601274
25,25000000,6027.7027027027025,4610.05291005291,74,189,1846.5825314953454,1125.6603577039098,0.01,0.7014943029557237,0.7014943029557237,0.2985056970442763
26,26000000,5480.813953488372,4450.985221674877,86,203,1790.895214566049,1102.6982590012667,0.01,0.6355508607536653,0.6355508607536653,0.3644491392463347
27,27000000,5321.808510638298,4717.3267326732675,94,202,1746.9782019427075,1084.166548286701,0.01,0.6163781016770523,0.6163781016770523,0.3836218983229477
28,28000000,5919.565217391304,4344.419642857143,92,224,1650.6498430746276,1035.3828549797015,0.01,0.6884551646981666,0.6884551646981666,0.3115448353018334
29,29000000,3885.4166666666665,5059.761904761905,120,210,1565.735935389551,1000.9353822172545,0.01,0.4431790320700646,0.4431790320700646,0.5568209679299354
30,30000000,6655.056179775281,4893.287037037037,89,216,1525.9347943569355,977.7672283381767,0.01,0.7771401227225931,0.7771401227225931,0.22285987727740686
31,31000000,6565.934065934066,6054.521276595745,91,188,1530.4450232352765,970.7146222677336,0.01,0.766393843938368,0.766393843938368,0.23360615606163204
32,32000000,5387.962962962963,5967.4358974358975,108,195,1537.2626842910568,981.7135424400528,0.01,0.6243549567678685,0.6243549567678685,0.37564504323213155
33,33000000,4720.588235294118,6206.958762886598,119,194,1562.2046510093157,998.6156960338911,0.01,0.5438834041086321,0.5438834041086321,0.4561165958913679
34,34000000,6751.630434782609,5819.806763285024,92,207,1553.3753763176005,995.4611892970706,0.01,0.7887849751947488,0.7887849751947488,0.21121502480525123
35,35000000,5341.891891891892,5697.846889952153,111,209,1557.3066837626247,997.7477805685244,0.01,0.618799740982708,0.618799740982708,0.38120025901729204
36,36000000,6531.914893617021,6511.282051282052,94,195,1574.8836536309464,1005.1119950344925,0.01,0.7622918372200478,0.7622918372200478,0.23770816277995221
37,37000000,6108.7962962962965,6631.578947368421,108,190,1607.4758569345647,1035.2133144042389,0.01,0.7112725086872894,0.7112725086872894,0.2887274913127106
38,38000000,8560.0,6957.631578947368,85,190,1819.3936138129634,1109.9519196782596,0.01,1.0068368441995346,1.0,0.0
39,39000000,8034.615384615385,7219.633507853403,91,191,1836.23125079325,1116.4350837190007,0.01,0.9434863546013511,0.9434863546013511,0.05651364539864889
40,40000000,8218.947368421053,7141.071428571428,95,196,1784.6242301533866,1085.2934078578228,0.01,0.9657129693151163,0.9657129693151163,0.0342870306848837
41,41000000,8921.42857142857,8473.480662983426,84,181,1757.9996240682194,1079.5930715313866,0.01,1.0504176348894374,1.0,0.0
42,42000000,8814.772727272728,8839.772727272728,88,176,1733.3670247017694,1055.452194341303,0.01,1.0375571518301194,1.0,0.0
43,43000000,11291.56626506024,10125.149700598802,83,167,1716.291476966049,1049.584499093834,0.01,1.3362070906708117,1.0,0.0
44,44000000,10970.0,10584.146341463415,80,164,1702.5728879372325,1035.622166101416,0.01,1.2974328674954483,1.0,0.0
45,45000000,9847.02380952381,10085.928143712576,84,167,1721.8339901140698,1033.9315551213087,0.01,1.1620252263301472,1.0,0.0
46,46000000,16233.333333333334,12400.64935064935,69,154,1677.9707737007454,1039.0339255090264,0.01,1.932081720585694,1.0,0.0
47,47000000,10697.727272727272,11204.848484848484,88,165,1677.8599708411543,1039.1006200593868,0.01,1.2646024227662418,1.0,0.0
48,48000000,11506.962025316456,13571.381578947368,79,152,1722.7574899429253,1046.7873640668263,0.01,1.3621793526480963,1.0,0.0
49,49000000,6627.727272727273,13021.56862745098,110,153,1755.3056330200502,1070.7311470042473,0.01,0.7738448232582052,0.7738448232582052,0.22615517674179475
50,50000000,15442.857142857143,14752.413793103447,70,145,1810.2428453463829,1073.9455948409602,0.01,1.8367666842942068,1.0,0.0
51,51000000,15304.411764705883,16040.357142857143,68,140,1776.9639208403416,1081.253238263761,0.01,1.8200730426616527,1.0,0.0
52,52000000,21222.131147540982,20420.8,61,125,1782.4089147534912,1109.4924522023166,0.01,2.5336272831732827,1.0,0.0
