iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,1.8333333333333333,nan,6,0,1889.075628706831,nan,1.0,0.0046296296296296285,0.0046296296296296285,0.9953703703703703
1,1000000,3.0,1.2753731343283583,6,1340,1670.2774938935436,1364.409756197284,0.8020002475,0.04513888888888889,0.04513888888888889,0.9548611111111112
2,2000000,2.9473684210526314,1.471264367816092,19,1305,1666.17250655443,1238.1842583624975,0.5545002475,0.043311403508771926,0.043311403508771926,0.9566885964912281
3,3000000,12.75,3.438722966014418,92,971,1621.6463871405222,1245.2075329704178,0.3070002475,0.3836805555555556,0.3836805555555556,0.6163194444444444
4,4000000,18.592178770949722,11.053677932405567,179,503,1613.7971555746503,1252.3553089925142,0.05950024749999997,0.5865339851024209,0.5865339851024209,0.41346601489757906
5,5000000,24.049295774647888,17.664102564102564,142,390,1618.2587934600322,1251.251926731588,0.01,0.7760172143974962,0.7760172143974962,0.22398278560250384
6,6000000,40.72268907563025,27.804123711340207,119,291,1618.3078412283335,1248.5126133356225,0.01,1.3549544817927168,1.0,0.0
7,7000000,35.704918032786885,39.36625514403292,122,243,1619.577340034694,1255.7227513720047,0.01,1.1807263205828777,1.0,0.0
8,8000000,50.504672897196265,49.90277777777778,107,216,1640.5650782769537,1278.5871142865383,0.01,1.6946066978193146,1.0,0.0
9,9000000,53.785714285714285,59.11,112,200,1613.403596399194,1246.8932992175705,0.01,1.8085317460317458,1.0,0.0
10,10000000,52.981308411214954,64.52910052910053,107,189,1607.8971214131882,1242.7828204068235,0.01,1.780600986500519,1.0,0.0
11,11000000,79.30681818181819,74.47191011235955,88,178,1621.4966388045873,1242.4256072657442,0.01,2.694681186868687,1.0,0.0
12,12000000,64.75,81.02234636871508,92,179,1642.3719398787182,1238.0792975725374,0.01,2.189236111111111,1.0,0.0
13,13000000,46.675438596491226,89.9080459770115,114,174,1622.0572956213891,1243.1352379182883,0.01,1.5616471734892785,1.0,0.0
14,14000000,91.71428571428571,99.12426035502959,21,169,1711.1894389929123,1239.1094232596076,0.01,3.125496031746031,1.0,0.0
15,15000000,111.91304347826087,102.76470588235294,69,170,1642.4310312624934,1233.5057448184577,0.01,3.8268417874396135,1.0,0.0
16,16000000,103.62121212121212,110.14634146341463,66,164,1694.9504376852328,1234.2637718039873,0.01,3.538930976430976,1.0,0.0
17,17000000,153.0,114.31901840490798,73,163,1675.8372364893983,1234.055485259069,0.01,5.253472222222222,1.0,0.0
18,18000000,155.5921052631579,127.16770186335404,76,161,1688.0765487253525,1234.6427577560569,0.01,5.343475877192983,1.0,0.0
19,19000000,235.66666666666666,166.12244897959184,21,147,1734.7799384653044,1232.617089684031,0.01,8.123842592592592,1.0,0.0
20,20000000,243.0,231.2109375,30,128,1738.8318688894155,1235.1396308828778,0.01,8.378472222222223,1.0,0.0
21,21000000,288.7857142857143,229.8211382113821,14,123,1706.597203448653,1243.8408135526001,0.01,9.968253968253968,1.0,0.0
22,22000000,255.44444444444446,273.70175438596493,9,114,1699.1700029963013,1251.3429614566548,0.01,8.810570987654321,1.0,0.0
23,23000000,276.4,291.8018018018018,35,111,1664.6733068393085,1260.3501595860564,0.01,9.538194444444445,1.0,0.0
24,24000000,351.4,314.3333333333333,15,117,1728.5223076381185,1225.965978587349,0.01,12.14236111111111,1.0,0.0
25,25000000,387.3076923076923,351.2972972972973,13,111,1729.9300923351232,1204.2789643187634,0.01,13.389155982905983,1.0,0.0
26,26000000,387.125,374.65909090909093,8,88,1709.4984802884123,1203.397028523107,0.01,13.3828125,1.0,0.0
27,27000000,306.0,393.76,5,75,1645.5946194950516,1222.5807658609856,0.01,10.565972222222223,1.0,0.0
28,28000000,397.875,416.2985074626866,8,67,1701.196362753253,1214.4569505105405,0.01,13.75607638888889,1.0,0.0
29,29000000,425.7142857142857,406.0238095238095,7,84,1687.5748821436628,1197.1531168566225,0.01,14.722718253968255,1.0,0.0
30,30000000,419.5,399.93975903614455,6,83,1653.2836072579307,1180.872213892323,0.01,14.506944444444445,1.0,0.0
31,31000000,414.2,407.7792207792208,5,77,1632.1852216668526,1181.4758433082923,0.01,14.322916666666666,1.0,0.0
32,32000000,410.0,385.8933333333333,9,75,1679.8598076083217,1185.5815762544019,0.01,14.177083333333334,1.0,0.0
33,33000000,353.2,423.7142857142857,10,63,1669.842310905892,1199.1592894907906,0.01,12.20486111111111,1.0,0.0
34,34000000,389.5,435.36507936507934,8,63,1642.502814227562,1195.0481917066277,0.01,13.465277777777779,1.0,0.0
35,35000000,489.4,435.2835820895522,5,67,1677.1804500636538,1206.141706249839,0.01,16.93402777777778,1.0,0.0
36,36000000,542.5625,410.1666666666667,16,78,1753.5790966723464,1206.7179121313372,0.01,18.779947916666664,1.0,0.0
37,37000000,400.0,434.8030303030303,6,66,1761.6753287517338,1220.2999683353985,0.01,13.82986111111111,1.0,0.0
38,38000000,372.57142857142856,418.7391304347826,7,69,1753.0935397154985,1220.392051356546,0.01,12.877480158730158,1.0,0.0
39,39000000,306.0,416.0,6,72,1762.8254574922473,1220.801558204304,0.01,10.565972222222223,1.0,0.0
40,40000000,354.375,431.7083333333333,16,72,1697.8856442610015,1219.2522042457008,0.01,12.245659722222221,1.0,0.0
41,41000000,381.5,470.2857142857143,4,70,1724.7780393795017,1205.825342487125,0.01,13.1875,1.0,0.0
42,42000000,415.0,422.9384615384615,7,65,1748.8321137386126,1205.5116587688874,0.01,14.350694444444445,1.0,0.0
43,43000000,450.8,439.28333333333336,5,60,1707.395128248195,1205.0245581698027,0.01,15.59375,1.0,0.0
44,44000000,546.5714285714286,479.75925925925924,7,54,1664.830944044896,1210.45936345678,0.01,18.919146825396822,1.0,0.0
45,45000000,428.2,433.39344262295083,5,61,1711.0997255673824,1198.2311557796759,0.01,14.809027777777777,1.0,0.0
46,46000000,498.2,449.828125,5,64,1727.9989512504883,1209.495103160366,0.01,17.239583333333332,1.0,0.0
47,47000000,527.8333333333334,480.31666666666666,6,60,1685.4979796189973,1205.3390577895152,0.01,18.26851851851852,1.0,0.0
48,48000000,424.25,473.3728813559322,4,59,1723.7260216897598,1204.7152501193057,0.01,14.671875,1.0,0.0
49,49000000,423.0,452.2307692307692,6,65,1726.1977414598123,1202.9402609055946,0.01,14.628472222222221,1.0,0.0
50,50000000,423.8333333333333,450.241935483871,6,62,1710.44899587843,1211.9539339995993,0.01,14.657407407407407,1.0,0.0
51,51000000,406.8333333333333,470.43333333333334,6,60,1697.2562556032935,1204.3010411947105,0.01,14.06712962962963,1.0,0.0
52,52000000,449.0,435.6,7,65,1742.4816687127818,1241.2006536580163,0.01,15.53125,1.0,0.0
53,53000000,408.46666666666664,459.08196721311475,15,61,1719.1047006589763,1229.777896340638,0.01,14.123842592592592,1.0,0.0
54,54000000,426.27272727272725,452.6617647058824,22,68,1720.0218221311181,1196.772583298092,0.01,14.742108585858585,1.0,0.0
55,55000000,390.75,430.56756756756755,4,74,1714.682045460632,1207.6247071440155,0.01,13.508680555555555,1.0,0.0
56,56000000,489.4,456.09375,5,64,1712.9040622251516,1212.6527954012404,0.01,16.93402777777778,1.0,0.0
57,57000000,510.57142857142856,453.4848484848485,14,66,1717.7524134827581,1205.4400243222092,0.01,17.669146825396826,1.0,0.0
58,58000000,458.2,490.04,10,50,1724.1182906161416,1202.266779538219,0.01,15.850694444444445,1.0,0.0
59,59000000,505.8,487.05357142857144,5,56,1717.4268505653367,1204.2047606842127,0.01,17.50347222222222,1.0,0.0
60,60000000,417.0,476.88235294117646,6,51,1694.731063764652,1203.006765851514,0.01,14.42013888888889,1.0,0.0
61,61000000,392.14285714285717,452.05454545454546,7,55,1681.0250160670473,1189.383673843437,0.01,13.557043650793652,1.0,0.0
62,62000000,394.7142857142857,447.30882352941177,7,68,1693.2724080383537,1186.3831748109199,0.01,13.646329365079366,1.0,0.0
63,63000000,411.1666666666667,444.5735294117647,6,68,1702.4086480824928,1191.5256760218015,0.01,14.217592592592593,1.0,0.0
64,64000000,126.875,443.16923076923075,24,65,1704.83353153661,1195.4769230705547,0.01,4.346354166666666,1.0,0.0
65,65000000,480.4,450.12068965517244,5,58,1714.4357200362194,1198.503641006323,0.01,16.62152777777778,1.0,0.0
66,66000000,417.375,452.1060606060606,8,66,1727.9736954810103,1199.8346284628506,0.01,14.433159722222221,1.0,0.0
67,67000000,490.8,482.12857142857143,5,70,1697.7881007048532,1190.8291793079557,0.01,16.98263888888889,1.0,0.0
68,68000000,542.7142857142857,454.4590163934426,7,61,1702.4406682351462,1191.8432568302717,0.01,18.78521825396825,1.0,0.0
69,69000000,406.8,434.16923076923075,5,65,1688.6791532028287,1184.6262715015162,0.01,14.065972222222223,1.0,0.0
70,70000000,565.8333333333334,496.90909090909093,6,55,1685.5341493573783,1176.4612198669931,0.01,19.587962962962962,1.0,0.0
71,71000000,624.25,481.0655737704918,4,61,1690.5356580691448,1168.7639462011641,0.01,21.616319444444443,1.0,0.0
72,72000000,401.75,468.1525423728813,4,59,1674.5505808973032,1168.846969836717,0.01,13.890625,1.0,0.0
73,73000000,400.8,450.3965517241379,5,58,1680.6172187455063,1181.7425836186144,0.01,13.85763888888889,1.0,0.0
74,74000000,510.8,511.3157894736842,5,57,1726.9035080079584,1197.1476562632733,0.01,17.677083333333332,1.0,0.0
75,75000000,417.75,467.4166666666667,4,60,1759.6403071409009,1236.99290222546,0.01,14.446180555555555,1.0,0.0
76,76000000,517.7777777777778,484.37704918032784,9,61,1746.5067724635146,1244.011991704836,0.01,17.919367283950617,1.0,0.0
77,77000000,392.25,462.4107142857143,12,56,1748.9563801325653,1246.4704792675534,0.01,13.56076388888889,1.0,0.0
78,78000000,407.2,453.2307692307692,5,65,1737.9189782264664,1239.070297491639,0.01,14.07986111111111,1.0,0.0
79,79000000,472.5,501.48214285714283,6,56,1718.274276782196,1211.0494208739492,0.01,16.34722222222222,1.0,0.0
80,80000000,675.75,489.3030303030303,8,66,1734.4347089133298,1211.6497960212057,0.01,23.404513888888886,1.0,0.0
81,81000000,459.7142857142857,474.3709677419355,7,62,1703.3390938096625,1180.2783366565382,0.01,15.90327380952381,1.0,0.0
