iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1360.942728347949,nan,1.0,-0.015271109029160323,-0.015271109029160323,1.0152711090291604
1,1000000,80.12165450121654,80.15723270440252,411,636,1256.7093785047325,952.2266162065433,0.8020002475,0.0034949419138579547,0.0034949419138579547,0.9965050580861421
2,2000000,304.304932735426,133.717277486911,223,573,1285.6781073811092,895.3705761671516,0.5545002475,0.05600302909835485,0.05600302909835485,0.9439969709016451
3,3000000,209.84790874524714,197.7642276422764,263,492,1279.6309251975094,892.8038581155973,0.3070002475,0.03387935560258746,0.03387935560258746,0.9661206443974125
4,4000000,235.96774193548387,261.36574074074076,248,432,1281.1920208200963,888.9233970326377,0.05950024749999997,0.039997128922703795,0.039997128922703795,0.9600028710772962
5,5000000,248.81856540084388,319.35400516795863,237,387,1278.5366480834343,887.5520534740367,0.01,0.043007041902059694,0.043007041902059694,0.9569929580979403
6,6000000,256.94117647058823,415.0974930362117,170,359,1281.1178089130817,880.3144539670657,0.01,0.04490951551015066,0.04490951551015066,0.9550904844898493
7,7000000,696.1935483870968,402.3229461756374,155,353,1289.4299583913855,883.2069084634809,0.01,0.14779097046190345,0.14779097046190345,0.8522090295380965
8,8000000,250.24193548387098,450.1719197707736,248,349,1281.6507728067118,880.5026229058979,0.01,0.043340422879463866,0.043340422879463866,0.9566595771205362
9,9000000,436.72131147540983,480.91445427728615,183,339,1286.837981186588,881.1770436127276,0.01,0.08701752230364442,0.08701752230364442,0.9129824776963555
10,10000000,785.8904109589041,488.24207492795387,146,347,1277.7148610512686,877.0642885449967,0.01,0.16879972150343225,0.16879972150343225,0.8312002784965677
11,11000000,444.4148936170213,489.9093655589124,188,331,1282.7190224125989,873.5567179928557,0.01,0.08881950898630314,0.08881950898630314,0.9111804910136969
12,12000000,612.4242424242424,711.1041009463722,132,317,1280.53562618543,871.4657694852367,0.01,0.12817056855000405,0.12817056855000405,0.8718294314499959
13,13000000,1460.1492537313434,734.0129449838188,134,309,1225.041367061799,858.597634936359,0.01,0.32672426601038607,0.32672426601038607,0.6732757339896139
14,14000000,564.804469273743,1016.472602739726,179,292,1208.8061577155077,858.1115017014926,0.01,0.11701709082415811,0.11701709082415811,0.8829829091758419
15,15000000,1032.027972027972,916.6666666666666,143,300,1234.7561646716688,848.028583036837,0.01,0.2264499290380541,0.2264499290380541,0.7735500709619458
16,16000000,2215.769230769231,853.9087947882737,104,307,1200.474887254667,837.9681009185412,0.01,0.503705171745926,0.503705171745926,0.496294828254074
17,17000000,846.1224489795918,900.8754208754209,147,297,1181.6007940439392,827.7311936711528,0.01,0.18290723714242693,0.18290723714242693,0.817092762857573
18,18000000,2431.5686274509803,1423.3720930232557,102,258,1187.0961078400144,830.2102052752175,0.01,0.554249590690006,0.554249590690006,0.445750409309994
19,19000000,2414.8514851485147,1663.4583333333333,101,240,1258.7587932628614,839.5518810310155,0.01,0.5503341105863719,0.5503341105863719,0.44966588941362806
20,20000000,2531.6,1777.3127753303966,100,227,1246.4005737770287,853.2119263854449,0.01,0.5776788851153531,0.5776788851153531,0.42232111488464685
21,21000000,382.7007299270073,1848.9252336448599,137,214,1249.8697789174507,857.3538124709484,0.01,0.07436485066799561,0.07436485066799561,0.9256351493320044
22,22000000,1607.142857142857,1629.6568627450981,77,204,1251.0324698507138,874.4658391851049,0.01,0.36115302895956364,0.36115302895956364,0.6388469710404363
23,23000000,1593.5294117647059,1221.8957345971564,102,211,1192.8897608273523,836.4703403552344,0.01,0.35796449508483563,0.35796449508483563,0.6420355049151644
24,24000000,1372.1739130434783,1303.6279069767443,92,215,1181.629444545518,825.6110049279439,0.01,0.30611872890115427,0.30611872890115427,0.6938812710988458
25,25000000,1993.0,1423.2,80,200,1155.1872583344204,794.7696251148492,0.01,0.4515282820002342,0.4515282820002342,0.5484717179997658
26,26000000,1434.2222222222222,1313.1155778894472,90,199,1098.1832793339872,779.0913683617342,0.01,0.320651650596609,0.320651650596609,0.679348349403391
27,27000000,1669.1764705882354,1251.7171717171718,85,198,1075.5897346704078,769.9200802468871,0.01,0.3756825086282317,0.3756825086282317,0.6243174913717683
28,28000000,1526.4044943820224,1294.1538461538462,89,195,1055.873680937416,780.3851616220412,0.01,0.34224253293875684,0.34224253293875684,0.6577574670612432
29,29000000,1370.7142857142858,1179.0395480225989,84,177,1083.0625857439093,773.4907233364993,0.01,0.3057768557710003,0.3057768557710003,0.6942231442289997
30,30000000,1053.20987654321,1167.142857142857,81,175,1087.1560584685217,772.7842607817472,0.01,0.23141114335243235,0.23141114335243235,0.7685888566475676
31,31000000,1657.1186440677966,1012.6900584795321,59,171,1089.3678866795633,784.4166318007415,0.01,0.3728583309679814,0.3728583309679814,0.6271416690320186
32,32000000,345.8536585365854,1031.2903225806451,82,155,1091.7385428001692,787.48091867022,0.01,0.06573454937032097,0.06573454937032097,0.934265450629679
