iteration,frame,eval_episode_return,train_episode_return,eval_num_episodes,train_num_episodes,eval_frame_rate,train_frame_rate,train_exploration_epsilon,normalized_return,capped_normalized_return,human_gap
0,0,0.0,nan,4,0,1775.4677976444161,nan,1.0,-0.001629102826398135,-0.001629102826398135,1.0016291028263982
1,1000000,121.14649681528662,91.07296137339056,157,466,1592.549196609292,1280.3125365254461,0.8020002475,0.0012562787579588253,0.0012562787579588253,0.9987437212420411
2,2000000,106.70731707317073,217.7987421383648,164,318,1613.3645236594039,1219.6874198908647,0.5545002475,0.0009123765864858472,0.0009123765864858472,0.9990876234135142
3,3000000,141.4678899082569,352.037037037037,218,216,1649.3052963079574,1181.9269217922515,0.3070002475,0.0017402793270246937,0.0017402793270246937,0.9982597206729753
4,4000000,393.2692307692308,315.4112554112554,104,231,1681.008269111614,1183.7470648005342,0.05950024749999997,0.0077375055856131825,0.0077375055856131825,0.9922624944143869
5,5000000,520.4878048780488,297.57847533632287,82,223,1655.3862271497228,1180.3540633627124,0.01,0.010767507612674821,0.010767507612674821,0.9892324923873251
6,6000000,551.7142857142857,421.44444444444446,70,180,1721.6259928670472,1180.9588187692943,0.01,0.011511237849352901,0.011511237849352901,0.9884887621506471
7,7000000,375.5769230769231,383.0769230769231,104,195,1685.0057181930476,1180.514342137148,0.01,0.007316122713287981,0.007316122713287981,0.992683877286712
8,8000000,519.4871794871794,470.90909090909093,78,165,1666.8064763548405,1177.769607584803,0.01,0.010743675424773783,0.010743675424773783,0.9892563245752262
9,9000000,513.8666666666667,435.1445086705202,75,173,1641.0557544815472,1222.1299338567298,0.01,0.010609810025333663,0.010609810025333663,0.9893901899746663
10,10000000,316.7391304347826,407.3224043715847,92,183,1648.2401849082833,1244.5619505911595,0.01,0.005914765779189465,0.005914765779189465,0.9940852342208105
11,11000000,687.2131147540983,565.6338028169014,61,142,1655.8987254880617,1261.4916798955019,0.01,0.014738453132428874,0.014738453132428874,0.9852615468675712
12,12000000,349.0243902439024,632.03125,82,128,1656.6606425515652,1263.075631493147,0.01,0.0066837132646578165,0.0066837132646578165,0.9933162867353422
13,13000000,339.4059405940594,646.4615384615385,101,130,1657.6533132064994,1264.7025495130003,0.01,0.006454627833223205,0.006454627833223205,0.9935453721667767
14,14000000,640.2941176470588,593.943661971831,68,142,1658.3368318824878,1262.848829081088,0.01,0.013620969641217704,0.013620969641217704,0.9863790303587823
15,15000000,476.98924731182797,664.9253731343283,93,134,1655.4690581859911,1266.2654203452944,0.01,0.009731489731455928,0.009731489731455928,0.9902685102685441
16,16000000,611.578947368421,737.6774193548387,114,155,1653.3934991822302,1261.6485873812264,0.01,0.012937052023360504,0.012937052023360504,0.9870629479766395
17,17000000,1222.4615384615386,1014.1095890410959,65,146,1653.8445695683986,1260.1467343380095,0.01,0.02748662155182854,0.02748662155182854,0.9725133784481714
18,18000000,1795.7692307692307,1227.906976744186,52,129,1653.6604564527581,1260.6726810616537,0.01,0.041141258714610024,0.041141258714610024,0.95885874128539
19,19000000,1327.1641791044776,1474.406779661017,67,118,1656.7154744929237,1264.0114597771008,0.01,0.029980354999237315,0.029980354999237315,0.9700196450007627
20,20000000,1693.090909090909,1495.3333333333333,55,120,1653.277169234725,1262.8707327623024,0.01,0.03869573906466893,0.03869573906466893,0.9613042609353311
21,21000000,1280.0,1466.0655737704917,66,122,1642.7769865721157,1261.0459119855334,0.01,0.028857031936607894,0.028857031936607894,0.9711429680633921
22,22000000,1483.103448275862,1536.0,58,120,1639.8335406598478,1259.0332275003987,0.01,0.03369440622955255,0.03369440622955255,0.9663055937704474
23,23000000,1772.8301886792453,1529.9173553719008,53,121,1643.3954032706135,1254.3703786562746,0.01,0.04059491283297755,0.04059491283297755,0.9594050871670224
24,24000000,1389.7058823529412,1495.8064516129032,68,124,1619.3007133744766,1253.3214970765048,0.01,0.0314699290566909,0.0314699290566909,0.9685300709433091
25,25000000,1397.8461538461538,1515.52,65,125,1629.8483958909726,1253.3216348464023,0.01,0.031663808286182725,0.031663808286182725,0.9683361917138172
26,26000000,1391.8309859154929,1561.4634146341464,71,123,1635.5183478047306,1254.0187250440877,0.01,0.031520543270435665,0.031520543270435665,0.9684794567295644
27,27000000,1281.6666666666667,1662.542372881356,72,118,1635.1159902729935,1254.210147801647,0.01,0.02889672742458056,0.02889672742458056,0.9711032725754194
28,28000000,1808.0,1653.2773109243697,55,119,1634.7641645780875,1254.659795590365,0.01,0.04143256252634788,0.04143256252634788,0.9585674374736521
29,29000000,1256.111111111111,1597.2357723577236,72,123,1645.2703050901882,1252.0820053995615,0.01,0.028288063275666374,0.028288063275666374,0.9717119367243336
30,30000000,1781.4285714285713,1623.1147540983607,56,122,1642.3745109659508,1255.5371866516905,0.01,0.04079970303238369,0.04079970303238369,0.9592002969676163
31,31000000,1874.0740740740741,1601.138211382114,54,123,1657.9030970457113,1254.7568229386059,0.01,0.04300626809397528,0.04300626809397528,0.9569937319060248
32,32000000,1755.8620689655172,1707.457627118644,58,118,1658.498522886892,1257.7283921577098,0.01,0.04019077815776854,0.04019077815776854,0.9598092218422315
33,33000000,1787.3684210526317,1708.6440677966102,57,118,1664.8987289758375,1260.2647159621984,0.01,0.040941174169970486,0.040941174169970486,0.9590588258300295
34,34000000,1805.6140350877192,1620.16,57,125,1668.8010425403215,1259.6662143862875,0.01,0.0413757353014607,0.0413757353014607,0.9586242646985393
35,35000000,1955.0,1776.0,52,115,1658.9920757185541,1254.9662294479117,0.01,0.04493370456553686,0.04493370456553686,0.9550662954344631
36,36000000,1959.6296296296296,1680.967741935484,54,124,1669.2747621148824,1257.3118298010445,0.01,0.04504396980990537,0.04504396980990537,0.9549560301900947
37,37000000,1632.9577464788733,1614.0,71,140,1662.8081629312442,1250.5865097580784,0.01,0.03726352992473434,0.03726352992473434,0.9627364700752656
38,38000000,2307.878787878788,2000.2255639097743,66,133,1665.1609102615844,1247.2347463306353,0.01,0.05333832197356728,0.05333832197356728,0.9466616780264328
39,39000000,2396.969696969697,2506.935483870968,66,124,1676.8792984660963,1246.2442097753615,0.01,0.05546022623974242,0.05546022623974242,0.9445397737602576
40,40000000,3300.566037735849,2985.1724137931033,53,116,1675.772518153181,1247.2809204076177,0.01,0.07698144484595806,0.07698144484595806,0.923018555154042
41,41000000,3868.5714285714284,3159.310344827586,56,116,1689.1681394834623,1242.6083662641367,0.01,0.09050979554215134,0.09050979554215134,0.9094902044578487
42,42000000,2541.125,3019.1729323308273,80,133,1684.2444961160365,1245.2073902337552,0.01,0.05889361529832351,0.05889361529832351,0.9411063847016765
43,43000000,2637.837837837838,2853.286713286713,74,143,1671.754585876088,1240.796990814426,0.01,0.06119705327303997,0.06119705327303997,0.9388029467269601
44,44000000,4381.272727272727,3914.957264957265,55,117,1669.9649573299453,1229.1202925791486,0.01,0.10272095248385135,0.10272095248385135,0.8972790475161486
45,45000000,6245.0,4962.330097087379,48,103,1666.5305934049265,1232.798445967267,0.01,0.14710989060717428,0.14710989060717428,0.8528901093928257
46,46000000,9767.25,5871.414141414141,40,99,1632.1324776190781,1208.0801770071907,0.01,0.23100035011420395,0.23100035011420395,0.768999649885796
